Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit),Exchange 7 (Name),Exchange 7 (Amount),Exchange 7 (Unit),Exchange 8 (Name),Exchange 8 (Amount),Exchange 8 (Unit)
,,,,,,,,,,onsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,,,,,,,,,,
,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram,,,,,,,,,,,,
,,,,,,,,,,onsite_road construction_cs,0.00109,meter-year,,,,,,,,,,,,
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-117.803652968037,kilogram,,,,,,,,,
,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,,,,
,,,,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",1.0,cubic meter,,,,,,
,,,,,,,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.003,kilogram,,,
,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,,,,
,,,,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",1.0,megajoule,,,,,,
,,,,,,,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,
,,,,,,,,,,,,,onsite_road construction_cs,1.0,meter-year,,,,,,,,,
,,,,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,
,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,,,,
,,,,,,,,,,,,,onsite_road maintenance_cs,1.0,meter-year,,,,,,,,,
,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer,,,,,,,,,,,,
,,,,,,,,,,,,,onsite_road construction_cs,-1.45614035087719e-05,kilogram,,,,,,,,,
,,,,"onsite_market for waste plastic, mixture_cs",-1.2673034727296364,kilogram,,,,,,,,,,,,,,,,,,
,"onsite_oil storage production, 3000l_eol",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,,,,,,,
,,,,"onsite_market for waste plastic, mixture_cs",-0.0521307785705014,kilogram,,,,,,,,,,,,,,,,,,
,,,,"onsite_market for waste plastic, mixture_cs",-0.49786922142949847,kilogram,,,,,,,,,,,,,,,,,,
